Source Resource,Source ID,Source Name,Mapping Type,Target Resource,Target ID,Target Name
wikipathways,WP1422,Sphingolipid Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2453,TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc),isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP704,Methylation Pathways,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP1600,Nicotine Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP325,Triacylglyceride Synthesis,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP229,Irinotecan Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP404,Nucleotide Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP4156,"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP696,Benzo(a)pyrene metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP368,Mitochondrial LC-Fatty Acid Beta-Oxidation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3925,Amino Acid metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP197,Cholesterol Biosynthesis,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2889,Oxytocin signaling,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP206,Fatty Acid Omega Oxidation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP500,Glycogen Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2536,Colchicine Metabolic Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3869,Cannabinoid receptor signaling,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3585,Cytosine methylation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP4210,Tryptophan catabolism leading to NAD+ production,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP43,Oxidation by Cytochrome P450,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP405,Eukaryotic Transcription Initiation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3933,Kennedy pathway from Sphingolipids,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP134,Pentose Phosphate Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP691,Tamoxifen metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP716,Vitamin A and Carotenoid Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP699,Aflatoxin B1 metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2190,One carbon donor,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2533,Glycerophospholipid Biosynthetic Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3940,One carbon metabolism and related pathways,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP237,Glucocorticoid and Mineralcorticoid Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP241,One Carbon Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP1531,Vitamin D Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP1424,Globo Sphingolipid Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP4022,Pyrimidine metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP106,Alanine and aspartate metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3965,Lipid Metabolism Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP698,Glucuronidation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP497,Urea cycle and metabolism of amino groups,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2826,Cocaine metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP4174,Metabolism of Tetrahydrocannabinol (THC),isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP111,Electron Transport Chain,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP697,Estrogen metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2491,Diclofenac Metabolic Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP4142,Metabolism of Spingolipids in ER and Golgi apparatus,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2816,Felbamate Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP143,Fatty Acid Beta Oxidation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP176,Folate Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
kegg,path:hsa03430,Mismatch repair - Homo sapiens (human),equivalentTo,wikipathways,WP531,Mismatch repair
kegg,path:hsa05032,Morphine addiction - Homo sapiens (human),isPartOf,wikipathways,WP2636,Common Pathways Underlying Drug Addiction
wikipathways,WP2513,Nanoparticle triggered regulated necrosis,isPartOf,kegg,path:hsa04217,Necroptosis - Homo sapiens (human)
wikipathways,WP501,"GPCRs, Class C Metabotropic glutamate, pheromone",isPartOf,kegg,path:hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human)
wikipathways,WP334,"GPCRs, Class B Secretin-like",isPartOf,kegg,path:hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human)
wikipathways,WP247,Small Ligand GPCRs,isPartOf,kegg,path:hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human)
wikipathways,WP24,Peptide GPCRs,isPartOf,kegg,path:hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human)
wikipathways,WP58,Monoamine GPCRs,isPartOf,kegg,path:hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human)
wikipathways,WP455,"GPCRs, Class A Rhodopsin-like",isPartOf,kegg,path:hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human)
wikipathways,WP2485,NAD Biosynthesis II (from tryptophan),isPartOf,kegg,path:hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human)
wikipathways,WP4210,Tryptophan catabolism leading to NAD+ production,isPartOf,kegg,path:hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human)
wikipathways,WP3644,NAD+ metabolism,isPartOf,kegg,path:hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human)
wikipathways,WP1600,Nicotine Metabolism,isPartOf,kegg,path:hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human)
wikipathways,WP3645,NAD+ biosynthetic pathways,isPartOf,kegg,path:hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human)
wikipathways,WP4159,GABA receptor Signaling,isPartOf,kegg,path:hsa05033,Nicotine addiction - Homo sapiens (human)
wikipathways,WP1602,Nicotine Activity on Dopaminergic Neurons,isPartOf,kegg,path:hsa05033,Nicotine addiction - Homo sapiens (human)
kegg,path:hsa03450,Non-homologous end-joining - Homo sapiens (human),equivalentTo,wikipathways,WP438,Non-homologous end joining
kegg,path:hsa04330,Notch signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP61,Notch Signaling Pathway
kegg,path:hsa04330,Notch signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP3845,Canonical  and Non-canonical Notch signaling
wikipathways,WP186,Homologous recombination,isPartOf,kegg,path:hsa03420,Nucleotide excision repair - Homo sapiens (human)
wikipathways,WP531,Mismatch repair,isPartOf,kegg,path:hsa03420,Nucleotide excision repair - Homo sapiens (human)
kegg,path:hsa00670,One carbon pool by folate - Homo sapiens (human),isPartOf,wikipathways,WP3940,One carbon metabolism and related pathways
kegg,path:hsa00670,One carbon pool by folate - Homo sapiens (human),isPartOf,wikipathways,WP2190,One carbon donor
kegg,path:hsa00670,One carbon pool by folate - Homo sapiens (human),isPartOf,wikipathways,WP241,One Carbon Metabolism
kegg,path:hsa00670,One carbon pool by folate - Homo sapiens (human),isPartOf,wikipathways,WP176,Folate Metabolism
wikipathways,WP2018,RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway,isPartOf,kegg,path:hsa04380,Osteoclast differentiation - Homo sapiens (human)
kegg,path:hsa00190,Oxidative phosphorylation - Homo sapiens (human),equivalentTo,wikipathways,WP623,Oxidative phosphorylation
kegg,path:hsa04921,Oxytocin signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP2889,Oxytocin signaling
kegg,path:hsa04151,PI3K-Akt signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP4172,PI3K-Akt Signaling Pathway
kegg,path:hsa03320,PPAR signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP3942,PPAR signaling pathway
wikipathways,WP3679,Cell-type Dependent Selectivity of CCK2R Signaling,isPartOf,kegg,path:hsa04972,Pancreatic secretion - Homo sapiens (human)
kegg,path:hsa05012,Parkinson's disease - Homo sapiens (human),equivalentTo,wikipathways,WP2371,Parkinsons Disease Pathway
kegg,path:hsa05130,Pathogenic Escherichia coli infection - Homo sapiens (human),equivalentTo,wikipathways,WP2272,Pathogenic Escherichia coli infection
wikipathways,WP1971,Integrated Cancer Pathway,isPartOf,kegg,path:hsa05200,Pathways in cancer - Homo sapiens (human)
wikipathways,WP2828,Bladder Cancer,isPartOf,kegg,path:hsa05200,Pathways in cancer - Homo sapiens (human)
wikipathways,WP2261,Signaling Pathways in Glioblastoma,isPartOf,kegg,path:hsa05200,Pathways in cancer - Homo sapiens (human)
kegg,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),isPartOf,wikipathways,WP698,Glucuronidation
kegg,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),equivalentTo,wikipathways,WP134,Pentose Phosphate Pathway
kegg,path:hsa00030,Pentose phosphate pathway - Homo sapiens (human),isPartOf,wikipathways,WP534,Glycolysis and Gluconeogenesis
wikipathways,WP1941,Peroxisomal beta-oxidation of tetracosanoyl-CoA,isPartOf,kegg,path:hsa04146,Peroxisome - Homo sapiens (human)
kegg,path:hsa00360,Phenylalanine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP3925,Amino Acid metabolism
kegg,path:hsa00360,Phenylalanine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP550,Biogenic Amine Synthesis
kegg,path:hsa00400,"Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)",isPartOf,wikipathways,WP550,Biogenic Amine Synthesis
kegg,path:hsa05020,Prion diseases - Homo sapiens (human),equivalentTo,wikipathways,WP3995,Prion disease pathway
kegg,path:hsa04917,Prolactin signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP2037,Prolactin Signaling Pathway
kegg,path:hsa03050,Proteasome - Homo sapiens (human),equivalentTo,wikipathways,WP183,Proteasome Degradation
wikipathways,WP2359,Parkin-Ubiquitin Proteasomal System pathway,isPartOf,kegg,path:hsa03050,Proteasome - Homo sapiens (human)
kegg,path:hsa00230,Purine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP404,Nucleotide Metabolism
kegg,path:hsa00230,Purine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP466,DNA Replication
kegg,path:hsa00230,Purine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP186,Homologous recombination
kegg,path:hsa00240,Pyrimidine metabolism - Homo sapiens (human),equivalentTo,wikipathways,WP4022,Pyrimidine metabolism
kegg,path:hsa04622,RIG-I-like receptor signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP3865,RIG-I-like Receptor Signaling
kegg,path:hsa03020,RNA polymerase - Homo sapiens (human),isPartOf,wikipathways,WP405,Eukaryotic Transcription Initiation
kegg,path:hsa04810,Regulation of actin cytoskeleton - Homo sapiens (human),equivalentTo,wikipathways,WP51,Regulation of Actin Cytoskeleton
kegg,path:hsa04923,Regulation of lipolysis in adipocytes - Homo sapiens (human),isPartOf,wikipathways,WP3965,Lipid Metabolism Pathway
wikipathways,WP4205,MET in type 1 papillary renal cell carcinoma,isPartOf,kegg,path:hsa05211,Renal cell carcinoma - Homo sapiens (human)
wikipathways,WP554,ACE Inhibitor Pathway,isPartOf,kegg,path:hsa04614,Renin-angiotensin system - Homo sapiens (human)
kegg,path:hsa04723,Retrograde endocannabinoid signaling - Homo sapiens (human),isPartOf,wikipathways,WP3869,Cannabinoid receptor signaling
wikipathways,WP477,Cytoplasmic Ribosomal Proteins,isPartOf,kegg,path:hsa03010,Ribosome - Homo sapiens (human)
kegg,path:hsa04130,SNARE interactions in vesicular transport - Homo sapiens (human),isPartOf,wikipathways,WP2267,Synaptic Vesicle Pathway
kegg,path:hsa00450,Selenocompound metabolism - Homo sapiens (human),equivalentTo,wikipathways,WP28,Selenium Metabolism and Selenoproteins
wikipathways,WP732,Serotonin Receptor 2 and ELK-SRF/GATA4 signaling,isPartOf,kegg,path:hsa04726,Serotonergic synapse - Homo sapiens (human)
wikipathways,WP733,Serotonin Receptor 2 and STAT3 Signaling,isPartOf,kegg,path:hsa04726,Serotonergic synapse - Homo sapiens (human)
wikipathways,WP3931,ESC Pluripotency Pathways,isPartOf,kegg,path:hsa04550,Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)
kegg,path:hsa00600,Sphingolipid metabolism - Homo sapiens (human),equivalentTo,wikipathways,WP1422,Sphingolipid Metabolism
kegg,path:hsa00600,Sphingolipid metabolism - Homo sapiens (human),isPartOf,wikipathways,WP1422,Sphingolipid Metabolism
kegg,path:hsa04071,Sphingolipid signaling pathway - Homo sapiens (human),isPartOf,wikipathways,WP1422,Sphingolipid Metabolism
kegg,path:hsa03040,Spliceosome - Homo sapiens (human),isPartOf,wikipathways,WP411,mRNA Processing
kegg,path:hsa00100,Steroid biosynthesis - Homo sapiens (human),equivalentTo,wikipathways,WP496,Steroid Biosynthesis
wikipathways,WP237,Glucocorticoid and Mineralcorticoid Metabolism,isPartOf,kegg,path:hsa00140,Steroid hormone biosynthesis - Homo sapiens (human)
wikipathways,WP692,Sulfation Biotransformation Reaction,isPartOf,kegg,path:hsa00920,Sulfur metabolism - Homo sapiens (human)
kegg,path:hsa04721,Synaptic vesicle cycle - Homo sapiens (human),equivalentTo,wikipathways,WP2267,Synaptic Vesicle Pathway
kegg,path:hsa00072,Synthesis and degradation of ketone bodies - Homo sapiens (human),equivalentTo,wikipathways,WP311,Synthesis and Degradation of Ketone Bodies
wikipathways,WP69,T-Cell antigen Receptor (TCR)  Signaling Pathway,isPartOf,kegg,path:hsa04660,T cell receptor signaling pathway - Homo sapiens (human)
wikipathways,WP2583,T-Cell Receptor and Co-stimulatory Signaling,isPartOf,kegg,path:hsa04660,T cell receptor signaling pathway - Homo sapiens (human)
kegg,path:hsa04350,TGF-beta signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP366,TGF-beta Signaling Pathway
kegg,path:hsa04659,Th17 cell differentiation - Homo sapiens (human),isPartOf,wikipathways,WP2112,IL17 signaling pathway
kegg,path:hsa04659,Th17 cell differentiation - Homo sapiens (human),isPartOf,wikipathways,WP2029,Cell Differentiation - Index
kegg,path:hsa04918,Thyroid hormone synthesis - Homo sapiens (human),equivalentTo,wikipathways,WP1981,Thyroxine (Thyroid Hormone) Production
kegg,path:hsa04620,Toll-like receptor signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP75,Toll-like Receptor Signaling Pathway
kegg,path:hsa04620,Toll-like receptor signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP3858,Toll-like Receptor Signaling
kegg,path:hsa00380,Tryptophan metabolism - Homo sapiens (human),equivalentTo,wikipathways,WP465,Tryptophan metabolism
kegg,path:hsa04930,Type II diabetes mellitus - Homo sapiens (human),equivalentTo,wikipathways,WP1584,Type II diabetes mellitus
kegg,path:hsa00350,Tyrosine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP3925,Amino Acid metabolism
kegg,path:hsa00350,Tyrosine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP550,Biogenic Amine Synthesis
kegg,path:hsa04120,Ubiquitin mediated proteolysis - Homo sapiens (human),isPartOf,wikipathways,WP2359,Parkin-Ubiquitin Proteasomal System pathway
kegg,path:hsa04120,Ubiquitin mediated proteolysis - Homo sapiens (human),isPartOf,wikipathways,WP183,Proteasome Degradation
wikipathways,WP3943,Robo4 and VEGF Signaling Pathways Crosstalk,isPartOf,kegg,path:hsa04370,VEGF signaling pathway - Homo sapiens (human)
kegg,path:hsa04370,VEGF signaling pathway - Homo sapiens (human),isPartOf,wikipathways,WP3888,VEGFA-VEGFR2 Signaling Pathway
wikipathways,WP3888,VEGFA-VEGFR2 Signaling Pathway,isPartOf,kegg,path:hsa04370,VEGF signaling pathway - Homo sapiens (human)
kegg,path:hsa00290,"Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)",isPartOf,wikipathways,WP3925,Amino Acid metabolism
kegg,path:hsa00280,"Valine, leucine and isoleucine degradation - Homo sapiens (human)",isPartOf,wikipathways,WP3925,Amino Acid metabolism
wikipathways,WP2197,Endothelin Pathways,isPartOf,kegg,path:hsa04270,Vascular smooth muscle contraction - Homo sapiens (human)
wikipathways,WP1533,Vitamin B12 Metabolism,isPartOf,kegg,path:hsa04977,Vitamin digestion and absorption - Homo sapiens (human)
kegg,path:hsa04310,Wnt signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP428,Wnt Signaling Pathway
wikipathways,WP399,Wnt Signaling Pathway and Pluripotency,isPartOf,kegg,path:hsa04310,Wnt signaling pathway - Homo sapiens (human)
kegg,path:hsa00410,beta-Alanine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP497,Urea cycle and metabolism of amino groups
kegg,path:hsa00410,beta-Alanine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP550,Biogenic Amine Synthesis
kegg,path:hsa00410,beta-Alanine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP106,Alanine and aspartate metabolism
kegg,path:hsa00410,beta-Alanine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP3925,Amino Acid metabolism
kegg,path:hsa04150,mTOR signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP1471,Target Of Rapamycin (TOR) Signaling
kegg,path:hsa04150,mTOR signaling pathway - Homo sapiens (human),isPartOf,wikipathways,WP4172,PI3K-Akt Signaling Pathway
kegg,path:hsa04150,mTOR signaling pathway - Homo sapiens (human),isPartOf,wikipathways,WP3844,PI3K-AKT-mTOR signaling pathway and therapeutic opportunities
kegg,path:hsa04150,mTOR signaling pathway - Homo sapiens (human),isPartOf,wikipathways,WP3932,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway
